id.plot,id.site,longitude,latitude,region,eco.id,eco.name,obs.year,esy4,site.type,hydrology,mngm.type,cwm.abu.oek.f,cwm.abu.oek.f.site,cwm.abu.oek.l,cwm.abu.oek.l.site,cwm.abu.sla,cwm.abu.height,cwm.abu.seedmass,fric.abu.sla,fric.abu.height,fric.abu.seedmass,fdis.abu.oek.f,fdis.abu.oek.l,fdis.abu.sla,fdis.abu.height,fdis.abu.seedmass,feve.abu.sla,feve.abu.height,feve.abu.seedmass
M_HNB_A2,M_HNB,11.77775515,51.2062993,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,3.94,3.8675,7.28,7.315,183.81,0.35,0.00254,7.44,10.5,13.75422,0.08,0.37,1.51,1.5,1.51162,1.73,1.64,1.71893
M_HNB_A3,M_HNB,11.77775515,51.2062993,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,3.82,3.8675,7.25,7.315,189.61,0.21,0.00196,8.38,77.51,8.67255,0.29,0.45,1.49,2.81,1.87148,1.65,1.48,1.62749
M_HNB_A4,M_HNB,11.77775515,51.2062993,centre,654,Central European mixed forests,2023,R1A,restored,dry,grazing,3.69,3.8675,7.47,7.315,203.68,0.32,0.00173,9.68,10.53,13.75422,0.29,0.53,1.59,1.78,1.84923,1.89,1.56,1.84341
M_HOH_A1,M_HOH,11.65059088,51.85418882,centre,654,Central European mixed forests,2022,V,restored,moist,mowing,6.61,5.7375,7.49,6.9775,176.05,0.54,0.00202,7.98,29.84,6.4509,0.42,0.56,1.36,1.61,1.4007,1.8,1.64,1.68914
M_HOH_A2,M_HOH,11.65059088,51.85418882,centre,654,Central European mixed forests,2022,R22,restored,moist,mowing,4.93,5.7375,7.44,6.9775,200.88,0.4,0.00233,9.22,23.13,9.20975,0.26,0.59,1.4,1.23,2.17776,1.35,1.21,1.5912
M_HOH_A3,M_HOH,11.65059088,51.85418882,centre,654,Central European mixed forests,2022,R,restored,moist,mowing,5.55,5.7375,6.78,6.9775,232.87,0.49,0.00102,7.68,12.4,7.53767,0.26,0.71,1.3,1.31,2.01316,1.39,1.32,1.81379
M_HOH_A4,M_HOH,11.65059088,51.85418882,centre,654,Central European mixed forests,2022,R,restored,moist,mowing,5.86,5.7375,6.2,6.9775,234.91,0.47,4.5e-4,3.93,12.4,15.39218,0.13,0.31,1.33,1.19,1.54514,1.81,1.41,1.72995
M_ILB_A1,M_ILB,11.65441561,51.82311226,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,4.51,4.4325,6.47,6.4825,236.13,0.37,0.0012,8.41,22.74,12.40834,0.27,0.49,1.4,1.8,1.74101,1.38,1.52,1.52632
M_ILB_A2,M_ILB,11.65441561,51.82311226,centre,654,Central European mixed forests,2023,R,restored,fresh,mowing,4.46,4.4325,6.82,6.4825,214.74,0.4,0.00215,6.11,12.43,16.33961,0.42,0.66,1.47,1.61,2.06809,1.51,1.55,1.34695
M_ILB_A3,M_ILB,11.65441561,51.82311226,centre,654,Central European mixed forests,2023,R22,restored,fresh,mowing,4.46,4.4325,6.26,6.4825,248.12,0.34,7.3e-4,9.22,29.33,17.2144,0.4,0.37,1.21,2.05,1.55659,1.28,1.48,1.59955
M_ILB_A4,M_ILB,11.65441561,51.82311226,centre,654,Central European mixed forests,2023,R,restored,fresh,mowing,4.3,4.4325,6.38,6.4825,237,0.31,9.6e-4,10.3,29.33,17.2144,0.25,0.48,1.41,1.6,1.79853,1.6,1.43,1.50924
M_JER_A1,M_JER,12.01639122,52.48309646,centre,654,Central European mixed forests,2023,V37,restored,fresh,mowing,4.24,4.4875,6.87,6.85,234.74,0.36,5.8e-4,49.15,157.79,39.31635,0.29,0.41,1.48,2.23,2.14569,1.56,1.58,1.59579
M_JER_A2,M_JER,12.01639122,52.48309646,centre,654,Central European mixed forests,2023,V32,restored,fresh,mowing,4.5,4.4875,6.71,6.85,237.63,0.32,0.00148,35.82,37.25,61.51232,0.35,0.53,1.55,1.84,2.22292,1.41,1.7,1.44643
M_JER_A3,M_JER,12.01639122,52.48309646,centre,654,Central European mixed forests,2023,V32,restored,fresh,mowing,4.79,4.4875,7.08,6.85,287.55,0.22,6.7e-4,6.18,37.25,100.60648,0.21,0.22,1.35,1.79,1.65239,1.64,1.78,1.70924
M_JER_A4,M_JER,12.01639122,52.48309646,centre,654,Central European mixed forests,2023,R1P,restored,fresh,mowing,4.42,4.4875,6.74,6.85,202.26,0.26,4.2e-4,30.3,37.25,19.91474,0.34,0.64,1.44,1.57,2.12663,1.76,1.82,1.69971
M_KAP_A1,M_KAP,12.23992028,51.87819202,centre,654,Central European mixed forests,2023,R,negative,fresh,mowing,5.38,5.12,6.96,6.91,252.64,0.58,0.00716,27.29,12.18,81.2263,0.4,0.49,1.41,1.47,2.71118,1.48,1.36,1.73212
M_KAP_A2,M_KAP,12.23992028,51.87819202,centre,654,Central European mixed forests,2023,R,negative,fresh,mowing,5.04,5.12,7.01,6.91,239.45,0.63,0.00447,17.71,203.53,81.2263,0.44,0.3,1.23,1.57,1.51845,1.44,1.14,1.49452
