id.plot,id.site,region,eco.id,eco.name,altitude,longitude,latitude,esy4,esy16,land.use.hist,obs.year,site.type,fertilized,hydrology,mngm.type,rest.age,fdis.abu.sla,fric.abu.sla,cwm.abu.sla,fdis.pres.sla,fric.pres.sla,cwm.pres.sla,fdis.abu.height,fric.abu.height,cwm.abu.height,fdis.pres.height,fric.pres.height,cwm.pres.height,fdis.abu.seedmass,fric.abu.seedmass,cwm.abu.seedmass,fdis.pres.seedmass,fric.pres.seedmass,cwm.pres.seedmass
M_GRO_A1,M_GRO,centre,654,Central European mixed forests,61.65000153,11.68390121,51.76579064,R22,R22,arable land,2022,restored,0,fresh,both,26,1.26,7.79,265.98,1.54,7.79,233.96,2.33,22.63,0.65,1.89,22.63,0.42,1.47302,12.1609,0.00169,1.81184,12.1609,0.00115
M_GRO_A2,M_GRO,centre,654,Central European mixed forests,61.65000153,11.68390121,51.76579064,R22,R22,arable land,2022,restored,0,fresh,both,26,1.27,29.64,264.99,1.79,29.64,231.59,2.27,22.63,0.72,2.03,22.63,0.4,1.2917,12.1609,0.00212,1.62914,12.1609,0.00164
M_GRO_A3,M_GRO,centre,654,Central European mixed forests,61.65000153,11.68390121,51.76579064,R,R22,arable land,2022,restored,0,fresh,both,26,1.18,7.79,272.16,1.41,7.79,252.61,2.15,22.63,0.82,1.93,22.63,0.44,1.34522,12.1609,0.00219,1.72574,12.1609,0.00156
M_GRO_A4,M_GRO,centre,654,Central European mixed forests,61.65000153,11.68390121,51.76579064,R,R22,arable land,2022,restored,0,fresh,both,26,1.22,24.3,271.42,1.89,24.3,219.63,1.54,22.63,1,2.1,22.63,0.39,1.11172,12.1609,0.00264,1.83955,12.1609,0.00131
M_HAH_A1,M_HAH,centre,654,Central European mixed forests,211.7200012,11.62972068,51.30873546,R1A,R1A,NA,2023,positive,NA,dry,none,NA,1.53,33.56,158.58,2.18,33.56,161.4,2.36,42.95,0.22,2.44,42.95,0.21,1.30728,6.49422,6.00E-04,1.60389,6.49422,9.90E-04
M_HAH_A2,M_HAH,centre,654,Central European mixed forests,211.7200012,11.62972068,51.30873546,R1A,R1A,NA,2023,positive,NA,dry,none,NA,1.44,19.54,193.88,1.97,19.54,179.75,3.48,33.17,0.16,2.69,33.17,0.19,1.69333,83.79706,8.60E-04,2.22318,83.79706,6.30E-04
M_HAH_A3,M_HAH,centre,654,Central European mixed forests,211.7200012,11.62972068,51.30873546,R,R1A,NA,2023,positive,NA,dry,none,NA,1.26,11.9,178.76,1.79,11.9,160.22,1.54,42.95,0.11,3.13,42.95,0.2,1.14933,5.18947,0.00155,1.52218,5.18947,0.00177
M_HAH_A4,M_HAH,centre,654,Central European mixed forests,211.7200012,11.62972068,51.30873546,R1A,R1A,NA,2023,positive,NA,dry,none,NA,1.4,19.54,189.64,2,19.54,176.53,2.32,33.17,0.1,2.35,33.17,0.18,1.98366,83.79706,2.50E-04,2.07032,83.79706,8.30E-04
M_HAI_A1,M_HAI,centre,686,Western European broadleaf forests,302.8399963,11.18385429,51.50506446,R22,R22,grassland,2022,restored,NA,fresh,grazing,11,1.49,4.79,253.93,1.53,4.79,242.49,2.13,46.43,0.59,1.89,46.43,0.4,1.67161,11.54491,0.00184,1.74788,11.54491,0.00171
M_HAI_A2,M_HAI,centre,686,Western European broadleaf forests,302.8399963,11.18385429,51.50506446,R,R22,grassland,2022,restored,NA,fresh,grazing,11,1.42,4.53,227.9,1.57,4.53,225.53,1.64,46.43,0.47,1.85,46.43,0.41,1.44721,9.83669,0.00334,1.61008,9.83669,0.00216
M_HAI_A3,M_HAI,centre,686,Western European broadleaf forests,302.8399963,11.18385429,51.50506446,R,R22,grassland,2022,restored,NA,fresh,grazing,11,1.45,7.08,217.21,1.67,7.08,228.54,1.5,43.36,0.46,1.94,43.36,0.41,1.72998,11.54491,0.0031,1.79124,11.54491,0.00158
M_HAI_A4,M_HAI,centre,686,Western European broadleaf forests,302.8399963,11.18385429,51.50506446,R22,R22,grassland,2022,restored,NA,fresh,grazing,11,1.41,5.74,217.1,1.65,5.74,226.32,1.63,46.43,0.45,1.95,46.43,0.38,1.49779,9.83669,0.00391,1.75634,9.83669,0.00232
M_HAR_A1,M_HAR,centre,654,Central European mixed forests,149.1900024,11.08520296,51.82462193,R,R,arable land,2023,restored,0,fresh,mowing,12,1.55,7.15,203.8,1.58,7.15,223.16,1.69,13.71,0.53,1.73,13.71,0.47,1.5667,26.43558,0.00335,1.97631,26.43558,0.00267
